species;biogeo;in_out;Clade
Sphenodon_punctatus;Asia/Oceania;Outgroup;No
Anguis_fragilis;0;Outgroup;No
Anniella_pulchra;0;Outgroup;No
Celestus_enneagrammus;0;Outgroup;No
Heloderma_suspectum;0;Outgroup;No
Lanthanotus_borneensis;Asia/Oceania;Outgroup;No
Shinisaurus_crocodilurus;Asia/Oceania;Outgroup;No
Varanus_acanthurus;Asia/Oceania;Ingroup;Varanus
Varanus_albigularis;Africa;Ingroup;Varanus
Varanus_bangonorum;Asia/Oceania;Ingroup;Varanus
Varanus_baritji;Asia/Oceania;Ingroup;Varanus
Varanus_beccarii;Asia/Oceania;Ingroup;Varanus
Varanus_bengalensis;Asia/Oceania;Ingroup;Varanus
Varanus_bitatawa;Asia/Oceania;Ingroup;Varanus
Varanus_boehmei;Asia/Oceania;Ingroup;Varanus
Varanus_brevicauda;Asia/Oceania;Ingroup;Varanus
Varanus_bushi;Asia/Oceania;Ingroup;Varanus
Varanus_caerulivirens;Asia/Oceania;Ingroup;Varanus
Varanus_caudolineatus;Asia/Oceania;Ingroup;Varanus
Varanus_cerambonensis;Asia/Oceania;Ingroup;Varanus
Varanus_cumingi;Asia/Oceania;Ingroup;Varanus
Varanus_doreanus;Asia/Oceania;Ingroup;Varanus
Varanus_douarrha;Asia/Oceania;Ingroup;Varanus
Varanus_dumerilii;Asia/Oceania;Ingroup;Varanus
Varanus_eremius;Asia/Oceania;Ingroup;Varanus
Varanus_exanthematicus;Africa;Ingroup;Varanus
Varanus_finschi;Asia/Oceania;Ingroup;Varanus
Varanus_flavescens;Asia/Oceania;Ingroup;Varanus
Varanus_giganteus;Asia/Oceania;Ingroup;Varanus
Varanus_gilleni;Asia/Oceania;Ingroup;Varanus
Varanus_glauerti;Asia/Oceania;Ingroup;Varanus
Varanus_glebopalma;Asia/Oceania;Ingroup;Varanus
Varanus_gouldii;Asia/Oceania;Ingroup;Varanus
Varanus_griseus;Africa/Arabia;Ingroup;Varanus
Varanus_indicus;Asia/Oceania;Ingroup;Varanus
Varanus_jobiensis;Asia/Oceania;Ingroup;Varanus
Varanus_keithhornei;Asia/Oceania;Ingroup;Varanus
Varanus_kingorum;Asia/Oceania;Ingroup;Varanus
Varanus_komodoensis;Asia/Oceania;Ingroup;Varanus
Varanus_kordensis;Asia/Oceania;Ingroup;Varanus
Varanus_macraei;Asia/Oceania;Ingroup;Varanus
Varanus_marmoratus;Asia/Oceania;Ingroup;Varanus
Varanus_melinus;Asia/Oceania;Ingroup;Varanus
Varanus_mertensi;Asia/Oceania;Ingroup;Varanus
